lat [deg],lon [deg],start time [s],duration [s],severity,measurements
54.79738700000007,-65.27297899999996,50.0,6000.0,3.518164330856509,|['visible', 'thermal', 'sar']|
55.60570100000007,27.106250000000045,90.0,6000.0,5.403587539591736,|['visible', 'thermal', 'sar']|
40.92998800000004,-113.307527,110.0,6000.0,5.8216391442899695,|['visible', 'thermal', 'sar']|
-3.6422549999999774,-62.661613999999986,110.0,6000.0,8.462337977360718,|['visible', 'thermal', 'sar']|
45.99275700000004,-86.29016699999994,160.0,6000.0,9.666246511652597,|['visible', 'thermal', 'sar']|
68.46090400000003,153.33115800000007,210.0,6000.0,6.889217402456948,|['visible', 'thermal', 'sar']|
-30.158855999999957,122.53974700000003,230.0,6000.0,0.4184723618073305,|['visible', 'thermal', 'sar']|
46.18818700000003,33.76458300000007,230.0,6000.0,4.662246102151121,|['visible', 'thermal', 'sar']|
29.45244400000007,-101.05214299999994,250.0,6000.0,1.037039359098929,|['visible', 'thermal', 'sar']|
28.97001800000004,90.57947600000006,260.0,6000.0,2.914553095856547,|['visible', 'thermal', 'sar']|
36.80149200000005,-107.60948099999996,340.0,6000.0,8.60738124596294,|['visible', 'thermal', 'sar']|
-8.757416999999975,26.069792000000064,390.0,6000.0,5.442951652935479,|['visible', 'thermal', 'sar']|
63.90008800000004,65.91562500000003,400.0,6000.0,9.940564538462969,|['visible', 'thermal', 'sar']|
30.952083000000073,87.53541700000005,400.0,6000.0,7.7515571050885645,|['visible', 'thermal', 'sar']|
63.697438000000034,-112.02304099999998,400.0,6000.0,7.580611787832411,|['visible', 'thermal', 'sar']|
47.287149000000056,-79.46197499999994,410.0,6000.0,4.834016271434559,|['visible', 'thermal', 'sar']|
63.23140900000004,27.219727000000034,410.0,6000.0,2.591161601051346,|['visible', 'thermal', 'sar']|
9.019717000000071,-74.76963399999994,430.0,6000.0,4.58725337963286,|['visible', 'thermal', 'sar']|
69.13958300000007,70.06041700000003,430.0,6000.0,4.5361728150626766,|['visible', 'thermal', 'sar']|
51.19906000000003,-93.79544499999997,470.0,6000.0,3.0797808169197216,|['visible', 'thermal', 'sar']|
